unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,13812,13797,15,5346,7555,1,UFP,DPK
2,3987,3987,0,1231,2548,1,,
3,3329,1526,1803,626,802,0,,
4,2345,1174,1171,476,593,0,,
5,2500,1344,1156,597,635,0,,
6,2577,1388,1189,591,702,0,,
7,2270,2270,0,773,1348,1,,
8,2264,951,1313,410,463,0,,
9,1487,791,696,382,345,0,,
10,1354,744,610,298,389,0,,
11,1462,738,724,293,375,0,,
12,1511,1511,0,478,925,1,,
13,2984,1252,1732,495,654,0,,
14,2605,1200,1405,528,568,0,,
15,3051,3050,1,861,1969,1,,
16,1546,802,744,356,377,0,,
17,2022,1061,961,412,571,0,,
18,2266,1154,1112,424,642,0,,
19,2637,1315,1322,519,698,0,,
20,2060,1091,969,450,526,0,,
21,2278,891,1387,362,449,0,,
22,3459,3459,0,1245,2036,1,,
23,2667,1517,1150,634,744,0,,
24,2392,1348,1044,643,596,0,,
25,4430,2471,1959,1255,1063,0,,
26,2877,2877,0,997,1720,1,,
27,3486,1934,1552,963,864,0,,
28,2427,1419,1008,693,613,0,,
29,2421,1382,1039,599,668,0,,
30,2641,2641,0,887,1602,1,,
31,2614,1455,1159,645,674,0,,
32,1966,1211,755,597,512,0,,
33,1184,668,516,336,288,0,,
34,3006,3006,0,1018,1791,1,,
35,2743,1270,1473,499,647,0,,
36,2175,1147,1028,506,532,0,,
37,2378,1621,757,826,681,0,,
38,2506,2506,0,1107,1272,1,,
39,2558,1670,888,933,655,0,,
40,2236,855,1381,536,291,0,,
41,1688,1010,678,536,422,0,,
42,3700,2393,1307,1711,609,0,,
43,1894,965,929,532,387,0,,
44,5964,5964,0,3346,2481,1,,
45,3403,2075,1328,1579,430,0,,
46,4417,2293,2124,1528,672,0,,
47,2874,1955,919,1442,450,0,,
48,3197,2152,1045,1327,750,0,,
49,2342,1465,877,1133,282,0,,
50,1888,1888,0,782,1013,1,,
51,1787,916,871,480,379,0,,
52,1547,906,641,537,320,0,,
53,2082,1416,666,732,610,0,,
54,1322,1322,0,584,675,1,,
55,3189,1416,1773,871,472,0,,
56,1692,819,873,497,278,0,,
57,1797,1797,0,690,1018,1,,
58,2450,1048,1402,558,426,0,,
59,2052,1106,946,544,498,0,,
60,1567,832,735,408,368,0,,
61,3287,3287,0,1529,1598,1,,
62,2702,1546,1156,874,573,0,,
63,2135,923,1212,409,431,0,,
64,3410,1771,1639,1326,388,0,,
65,2534,1354,1180,815,481,0,,
66,3173,968,2205,488,414,0,,
67,1906,1906,0,960,856,1,,
68,2315,1457,858,854,506,0,,
69,1728,900,828,450,382,0,,
70,2701,1876,825,1571,253,0,,
71,1406,667,739,396,239,0,,
72,2976,2976,0,1211,1580,1,,
73,2840,1117,1723,512,514,0,,
74,2272,1173,1099,479,597,0,,
75,2569,1259,1310,601,539,0,,
76,2067,975,1092,473,428,0,,
