unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,12785,12777,8,7648,4202,1,DPK,UFP
2,3710,3709,1,2236,1332,1,,
3,2968,1516,1452,774,642,0,,
4,3185,1873,1312,857,929,0,,
5,2781,1776,1005,813,883,0,,
6,2868,2866,2,1649,1063,1,,
7,2570,1171,1399,598,486,0,,
8,3608,2131,1477,858,1200,0,,
9,2170,1296,874,563,660,0,,
10,1988,1039,949,526,457,0,,
11,3410,3410,0,2059,1179,1,,
12,1732,830,902,397,370,0,,
13,1140,622,518,316,265,0,,
14,2974,1779,1195,892,793,0,,
15,3007,1948,1059,929,910,0,,
16,3766,3764,2,2197,1385,1,,
17,2565,1232,1333,529,635,0,,
18,2958,1584,1374,687,818,0,,
19,2656,1207,1449,557,587,0,,
20,2659,1419,1240,650,683,0,,
21,2570,2570,0,1485,959,1,,
22,2809,1398,1411,714,579,0,,
23,2816,1850,966,677,1077,0,,
24,1488,778,710,410,319,0,,
25,4781,4781,0,2806,1738,1,,
26,2609,1429,1180,751,585,0,,
27,2989,1595,1394,865,617,0,,
28,2417,1624,793,725,796,0,,
29,3637,1803,1834,820,900,0,,
30,2835,1711,1124,747,861,0,,
31,2540,1540,1000,657,804,0,,
32,3106,3106,0,2022,928,1,,
33,3257,1493,1764,859,542,0,,
34,2639,1428,1211,718,612,0,,
35,2400,1554,846,849,629,0,,
36,2792,1862,930,1016,761,0,,
37,3409,3409,0,2027,1234,1,,
38,2310,1213,1097,512,624,0,,
39,3015,1789,1226,848,850,0,,
40,1948,1033,915,550,414,0,,
41,2296,1492,804,627,780,0,,
42,4562,4561,1,2842,1512,1,,
43,3156,1842,1314,847,886,0,,
44,2731,1558,1173,821,652,0,,
45,2941,1776,1165,892,776,0,,
46,2618,1757,861,759,893,0,,
47,2793,1769,1024,882,780,0,,
48,3753,3753,0,2406,1156,1,,
49,2345,1240,1105,627,537,0,,
50,2584,1594,990,802,666,0,,
51,2944,1804,1140,955,760,0,,
52,2366,1256,1110,663,511,0,,
53,2587,1378,1209,715,579,0,,
54,2389,1466,923,726,599,0,,
55,2199,2199,0,1282,753,1,,
56,1566,837,729,418,335,0,,
57,2158,1072,1086,595,377,0,,
58,3512,1650,1862,710,785,0,,
59,2047,2047,0,1299,650,1,,
60,2430,1180,1250,628,466,0,,
61,2249,1115,1134,602,443,0,,
62,2378,1186,1192,597,511,0,,
63,2516,2516,0,1679,711,1,,
64,3086,1272,1814,674,501,0,,
65,2684,1324,1360,701,525,0,,
66,2125,1091,1034,557,452,0,,
