unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,12393,12387,6,7310,4773,1,DPK,UFP
2,424,424,0,233,189,1,,
3,392,179,213,68,103,0,,
4,895,568,327,228,334,0,,
5,1025,1024,1,485,521,1,,
6,2639,1101,1538,408,669,0,,
7,804,370,434,166,191,0,,
8,640,640,0,343,283,1,,
9,1522,692,830,237,436,0,,
10,137,51,86,10,41,0,,
11,1373,1373,0,846,503,1,,
12,1254,601,653,264,321,0,,
13,1233,690,543,304,370,0,,
14,1146,1146,0,704,419,1,,
15,1532,729,803,320,385,0,,
16,1393,774,619,401,351,0,,
17,549,549,0,321,221,1,,
18,1632,680,952,314,348,0,,
19,1818,1053,765,397,636,0,,
20,444,444,0,245,191,1,,
21,728,274,454,100,162,0,,
22,538,304,234,143,153,0,,
23,1654,1654,0,1012,618,1,,
24,1900,776,1124,416,342,0,,
25,1474,772,702,360,402,0,,
26,1778,943,835,475,453,0,,
27,2626,2626,0,1645,919,1,,
28,2325,1110,1215,547,538,0,,
29,2412,1335,1077,649,652,0,,
30,2077,1059,1018,558,478,0,,
31,2301,1289,1012,636,618,0,,
32,3412,3412,0,1988,1382,1,,
33,1427,631,796,295,314,0,,
34,1765,1063,702,564,465,0,,
35,2827,1835,992,749,1064,0,,
36,2692,1793,899,752,1017,0,,
37,2418,1300,1118,669,593,0,,
38,2394,2394,0,1464,900,1,,
39,1272,639,633,336,292,0,,
40,1748,793,955,413,358,0,,
41,2116,1511,605,590,900,0,,
42,1730,1122,608,575,527,0,,
43,2346,1497,849,662,806,0,,
44,2553,2553,0,1599,917,1,,
45,1964,860,1104,436,408,0,,
46,2830,1385,1445,694,657,0,,
47,1752,977,775,547,410,0,,
48,2638,2637,1,1581,1014,1,,
49,1186,607,579,303,298,0,,
50,1675,1037,638,473,538,0,,
51,1882,1104,778,476,608,0,,
52,1457,772,685,391,360,0,,
53,2111,2111,0,1349,716,1,,
54,3531,1536,1995,807,679,0,,
55,2084,980,1104,544,411,0,,
56,3046,1835,1211,924,878,0,,
57,2408,2408,0,1432,944,1,,
58,2506,1424,1082,675,727,0,,
59,2523,1336,1187,694,609,0,,
60,2427,1593,834,759,797,0,,
61,2685,2685,0,1604,1048,1,,
62,1951,915,1036,479,415,0,,
63,2772,1602,1170,749,806,0,,
64,2960,1842,1118,818,992,0,,
65,1912,1097,815,443,644,0,,
66,4412,4412,0,2665,1688,1,,
67,3391,1843,1548,879,928,0,,
68,3062,1607,1455,816,755,0,,
69,3112,1582,1530,795,744,0,,
70,2326,1619,707,654,939,0,,
71,2778,1346,1432,624,710,0,,
72,3481,3481,0,2051,1392,1,,
73,1804,875,929,382,473,0,,
74,2385,1462,923,666,776,0,,
75,2396,1275,1121,580,671,0,,
76,2276,1459,817,591,852,0,,
77,3632,3632,0,1931,1676,1,,
78,3047,1999,1048,803,1175,0,,
79,2539,1499,1040,522,961,0,,
80,2860,1800,1060,742,1034,0,,
81,3073,1475,1598,470,980,0,,
82,2354,1599,755,665,915,0,,
83,3286,2174,1112,947,1204,0,,
