unit,n.rv,n.v,n.a,n.w,n.o,ind,p.prw,p.pro,n.prw,n.pro,n.prrv,n.prv,n.pra,winning,opposing
1,5694,5694,0,2897,2164,1,0.294871795,0.296907941,1679,1690,5694,5692,2,DPK,SP
2,1148,1147,1,630,430,1,0.268292683,0.31533101,308,362,1148,1148,0,,
3,3064,1827,1237,907,764,0,0.137357259,0.332968237,421,608,3065,1826,1239,,
4,3287,2182,1105,1043,952,0,0.147201946,0.358845096,484,783,3288,2182,1106,,
5,3246,2058,1188,1180,706,0,0.192236599,0.284118504,624,585,3246,2059,1187,,
6,1182,1180,2,614,477,1,0.256345178,0.339255499,303,401,1182,1182,0,,
7,3002,1556,1446,792,614,0,0.130159787,0.328626444,391,512,3004,1558,1446,,
8,4015,2544,1471,977,1395,0,0.121015936,0.420597484,486,1070,4016,2544,1472,,
9,281,281,0,143,120,1,0.263345196,0.348754448,74,98,281,281,0,,
10,2161,1237,924,564,560,0,0.121702915,0.387227162,263,479,2161,1237,924,,
11,738,737,1,400,288,1,0.275067751,0.341463415,203,252,738,738,0,,
12,3005,1727,1278,922,675,0,0.140765391,0.320973349,423,554,3005,1726,1279,,
13,2439,1547,892,804,616,0,0.16195162,0.343891403,395,532,2439,1547,892,,
14,2267,1385,882,680,596,0,0.151675485,0.370397112,344,513,2268,1385,883,,
15,1615,1614,1,742,773,1,0.244582043,0.340768278,395,550,1615,1614,1,,
16,2778,1552,1226,741,717,0,0.112670986,0.395618557,313,614,2778,1552,1226,,
17,4057,2313,1744,995,1168,0,0.122257826,0.390570934,496,903,4057,2312,1745,,
18,2292,1406,886,668,671,0,0.132198953,0.39829303,303,560,2292,1406,886,,
19,2265,1483,782,747,636,0,0.167770419,0.360755226,380,535,2265,1483,782,,
20,2365,1412,953,678,654,0,0.133192389,0.392351275,315,554,2365,1412,953,,
21,768,768,0,388,331,1,0.270833333,0.341145833,208,262,768,768,0,,
22,2120,1457,663,747,598,0,0.164150943,0.316403569,348,461,2120,1457,663,,
23,3543,2193,1350,1106,911,0,0.158815233,0.329990884,563,724,3545,2194,1351,,
24,352,351,1,177,143,1,0.309659091,0.338068182,109,119,352,352,0,,
25,1887,1060,827,553,406,0,0.166931638,0.303773585,315,322,1887,1060,827,,
26,1627,781,846,436,303,0,0.138206388,0.317541613,225,248,1628,781,847,,
27,606,606,0,321,231,1,0.260726073,0.313531353,158,190,606,606,0,,
28,3494,2117,1377,"1,038",876,0,0.158798283,0.348441926,555,738,3495,2118,1377,,
29,570,570,0,314,218,1,0.287719298,0.303508772,164,173,570,570,0,,
30,3464,1324,2140,573,659,0,0.081408776,0.435800604,282,577,3464,1324,2140,,
31,3054,1617,1437,785,713,0,0.134577603,0.359307359,411,581,3054,1617,1437,,
32,475,475,0,247,197,1,0.290526316,0.355789474,138,169,475,475,0,,
33,2100,955,1145,413,456,0,0.10952381,0.395811518,230,378,2100,955,1145,,
34,2407,1280,1127,714,453,0,0.159402242,0.28515625,384,365,2409,1280,1129,,
35,813,813,0,493,268,1,0.348093481,0.252152522,283,205,813,813,0,,
36,3408,2058,1350,1202,654,0,0.183924905,0.259961127,627,535,3409,2058,1351,,
37,3250,1681,1569,968,554,0,0.16056598,0.263533611,522,443,3251,1681,1570,,
38,1961,1960,1,1157,614,1,0.304436512,0.234574197,597,460,1961,1961,0,,
39,2998,1965,1033,1094,730,0,0.18478986,0.297201018,554,584,2998,1965,1033,,
40,2812,1664,1148,903,595,0,0.167022033,0.276710684,470,461,2814,1666,1148,,
41,2727,1657,1070,841,664,0,0.162390029,0.293301147,443,486,2728,1657,1071,,
42,2282,1438,844,861,434,0,0.186596583,0.223922114,426,322,2283,1438,845,,
43,2005,1165,840,658,421,0,0.178054863,0.283261803,357,330,2005,1165,840,,
44,285,285,0,172,88,1,0.361403509,0.256140351,103,73,285,285,0,,
45,1567,608,959,292,277,0,0.105296745,0.383223684,165,233,1567,608,959,,
46,3215,1878,1337,1047,671,0,0.178171642,0.280085197,573,526,3216,1878,1338,,
47,749,749,0,463,239,0,0.365333333,0.261333333,274,196,750,750,0,,
48,2074,967,1107,550,320,0,0.135004822,0.302998966,280,293,2074,967,1107,,
49,2735,1518,1217,887,492,0,0.190859232,0.272727273,522,414,2735,1518,1217,,
50,2827,1536,1291,930,474,0,0.18146445,0.251302083,513,386,2827,1536,1291,,
51,675,675,0,374,260,1,0.339259259,0.299259259,229,202,675,675,0,,
52,2178,1166,1012,636,426,0,0.172635445,0.305317324,376,356,2178,1166,1012,,
53,3379,2152,1227,1224,748,0,0.182302456,0.266263941,616,573,3379,2152,1227,,
54,546,546,0,306,204,1,0.30952381,0.291208791,169,159,546,546,0,,
55,2918,1404,1514,742,556,0,0.141192598,0.324074074,412,455,2918,1404,1514,,
56,2201,1323,878,750,458,0,0.193094048,0.285498489,425,378,2201,1324,877,,
57,707,707,0,414,236,1,0.342291372,0.26874116,242,190,707,707,0,,
58,2279,1081,1198,583,378,0,0.161035542,0.265494912,367,287,2279,1081,1198,,
59,2898,1343,1555,712,497,0,0.138716356,0.30007446,402,403,2898,1343,1555,,
60,2597,1426,1171,812,483,0,0.175202156,0.267180926,455,381,2597,1426,1171,,
