unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,14420,14406,14,5775,7908,1,UFP,DPK
2,4828,4828,0,1473,3140,1,,
3,3167,1712,1455,709,906,0,,
4,2887,1533,1354,633,810,0,,
5,3537,1949,1588,789,1033,0,,
6,3331,1883,1448,733,1040,0,,
7,3432,1805,1627,763,949,0,,
8,3294,1872,1422,778,969,0,,
9,2714,1572,1142,672,787,0,,
10,5711,5711,0,1686,3784,1,,
11,2881,1375,1506,568,709,0,,
12,3027,1518,1509,625,802,0,,
13,3065,1787,1278,718,947,0,,
14,2853,1616,1237,706,802,0,,
15,3264,1900,1364,772,1026,0,,
16,3207,1614,1593,685,823,0,,
17,2886,1586,1300,658,839,0,,
18,5876,5875,1,3061,2644,1,,
19,3430,2232,1198,1339,820,0,,
20,3305,2260,1045,1397,770,0,,
21,2554,1868,686,1234,570,0,,
22,3185,2286,899,1365,842,0,,
23,2923,2047,876,1185,784,0,,
24,4200,4200,0,2231,1854,1,,
25,2327,1614,713,1210,342,0,,
26,3185,2262,923,1579,612,0,,
27,2832,1963,869,1410,499,0,,
28,3658,1972,1686,673,1161,0,,
29,3772,2167,1605,800,1227,0,,
30,3912,2465,1447,1102,1232,0,,
31,5675,5675,0,1856,3593,1,,
32,3589,1708,1881,781,826,0,,
33,2945,1374,1571,688,610,0,,
34,2824,1467,1357,623,758,0,,
35,2910,1587,1323,709,799,0,,
36,2940,1693,1247,879,729,0,,
37,3170,1678,1492,734,843,0,,
38,5785,5785,0,2621,3025,1,,
39,2178,1521,657,892,582,0,,
40,3091,2256,835,1350,832,0,,
41,3253,1920,1333,1125,717,0,,
42,2840,1931,909,1278,598,0,,
43,3047,2130,917,1319,762,0,,
44,2693,2053,640,1201,779,0,,
45,3012,2142,870,1299,791,0,,
46,4552,4551,1,2487,1924,1,,
47,2145,1510,635,997,441,0,,
48,2953,1816,1137,1195,537,0,,
49,2241,1629,612,1104,473,0,,
50,1908,1384,524,1064,278,0,,
51,3038,2270,768,1498,715,0,,
52,2349,1768,581,1169,547,0,,
53,3299,2261,1038,1449,744,0,,
54,3527,2491,1036,1501,930,0,,
55,2736,2735,1,1603,1067,1,,
56,3048,2050,998,1649,340,0,,
57,2833,2074,759,1398,593,0,,
