unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,10763,10756,7,6555,3413,1,DPK,UFP
2,3357,3357,0,2070,1054,1,,
3,2978,1423,1555,739,562,0,,
4,1962,982,980,496,392,0,,
5,2785,1500,1285,763,621,0,,
6,2314,1179,1135,596,486,0,,
7,4054,4054,0,2535,1271,1,,
8,2693,1353,1340,650,588,0,,
9,3009,1690,1319,906,674,0,,
10,3353,1810,1543,911,745,0,,
11,2259,1122,1137,564,489,0,,
12,2990,1535,1455,737,677,0,,
13,2738,2738,0,1672,938,1,,
14,2258,1302,956,639,566,0,,
15,2123,1227,896,601,533,0,,
16,2300,1222,1078,595,517,0,,
17,2684,1314,1370,627,567,0,,
18,2197,1063,1134,533,457,0,,
19,5412,5411,1,3437,1654,1,,
20,2693,1657,1036,785,741,0,,
21,3133,1910,1223,1018,775,0,,
22,2731,1337,1394,620,607,0,,
23,2491,1357,1134,661,588,0,,
24,2883,1545,1338,777,670,0,,
25,2712,1416,1296,626,667,0,,
26,3263,1995,1268,948,913,0,,
27,2734,2734,0,1731,830,1,,
28,2099,1074,1025,515,466,0,,
29,2359,1266,1093,651,492,0,,
30,2900,1758,1142,845,789,0,,
31,4318,4318,0,2707,1379,1,,
32,2623,1239,1384,617,535,0,,
33,2355,1548,807,741,739,0,,
34,2252,1288,964,647,562,0,,
35,3249,1891,1358,954,815,0,,
36,3258,1801,1457,870,818,0,,
37,3633,2159,1474,1090,908,0,,
38,5384,5383,1,3002,2179,1,,
39,3717,2054,1663,758,1186,0,,
40,2537,1600,937,459,1060,0,,
41,3140,2180,960,1077,1001,0,,
42,3432,2496,936,1153,1223,0,,
43,3779,2490,1289,1159,1213,0,,
44,3209,2270,939,829,1322,0,,
45,2999,2999,0,1869,959,1,,
46,2882,1506,1376,745,618,0,,
47,2078,1184,894,639,450,0,,
48,2091,1158,933,585,468,0,,
49,2207,1189,1018,608,471,0,,
50,2009,1156,853,535,539,0,,
51,2191,1101,1090,537,491,0,,
