unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,5883,5881,2,3121,1828,1,DPK,SP
2,1675,1675,0,843,607,0,,
3,3596,1770,1826,827,625,0,,
4,3495,1854,1641,907,614,0,,
5,3724,1936,1788,961,646,0,,
6,3079,1597,1482,838,488,0,,
7,3558,1765,1793,940,532,0,,
8,2173,2173,0,1108,813,1,,
9,3835,2564,1271,1198,989,0,,
10,3418,1954,1464,950,675,0,,
11,3722,2080,1642,1017,746,0,,
12,3191,1780,1411,833,745,0,,
13,3775,2253,1522,1044,904,0,,
14,3509,2375,1134,1008,1083,0,,
15,2015,2015,0,927,823,1,,
16,3076,1453,1623,712,517,0,,
17,2433,1303,1130,613,471,0,,
18,3685,1940,1745,995,662,0,,
19,2585,1390,1195,679,525,0,,
20,2878,1342,1536,638,456,0,,
21,2603,1283,1320,605,477,0,,
22,1539,1538,1,663,652,1,,
23,3725,2070,1655,964,793,0,,
24,3795,2215,1580,909,1001,0,,
25,3088,1654,1434,794,574,0,,
26,3153,1854,1299,912,677,0,,
27,2910,1532,1378,753,509,0,,
28,3398,1811,1587,882,654,0,,
29,2518,2517,1,1225,1004,1,,
30,3389,1960,1429,880,775,0,,
31,3700,2117,1583,947,878,0,,
32,3263,2181,1082,1110,807,0,,
33,2908,1939,969,985,684,0,,
34,2808,1876,932,956,633,0,,
35,1758,952,806,431,377,0,,
36,3551,2331,1220,710,1377,0,,
37,1541,1541,0,643,674,1,,
38,2929,1337,1592,551,552,0,,
39,3096,1653,1443,732,645,0,,
40,3181,1594,1587,649,634,0,,
41,3427,1587,1840,715,567,0,,
42,3051,1528,1523,693,583,0,,
43,2531,1334,1197,600,516,0,,
44,1534,1533,1,920,417,1,,
45,4327,1747,2580,1009,439,0,,
46,3004,1486,1518,811,434,0,,
47,3278,1571,1707,794,479,0,,
48,2635,1211,1424,631,353,0,,
49,2585,1193,1392,621,341,0,,
50,1861,881,980,434,308,0,,
