unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,14797,14784,13,5770,3697,1,JP,UFP
2,3077,3077,0,1166,883,1,,
3,2039,920,1119,276,377,0,,
4,3069,1456,1613,473,590,0,,
5,2486,1162,1324,440,440,0,,
6,2755,1359,1396,444,545,0,,
7,2406,2405,1,1100,581,1,,
8,3285,2116,1169,1147,550,0,,
9,761,383,378,110,193,0,,
10,3608,2108,1500,766,737,0,,
11,3879,2311,1568,1124,679,0,,
12,3113,1813,1300,804,554,0,,
13,4020,4019,1,1863,912,1,,
14,1126,516,610,143,269,0,,
15,2280,1340,940,404,474,0,,
16,3070,2005,1065,1135,505,0,,
17,3267,2148,1119,1154,479,0,,
18,2140,1200,940,483,371,0,,
19,2864,1720,1144,589,627,0,,
20,3224,1975,1249,642,750,0,,
21,2152,1503,649,834,354,0,,
22,1939,1488,451,922,296,0,,
23,3305,2105,1200,1102,597,0,,
24,2382,1524,858,518,490,0,,
25,3711,3709,2,1413,1061,1,,
26,2389,1055,1334,396,354,0,,
27,2901,1368,1533,477,537,0,,
28,2928,1256,1672,448,474,0,,
29,3254,2156,1098,871,780,0,,
30,2942,2016,926,897,720,0,,
31,2538,2538,0,1027,760,1,,
32,2238,1214,1024,510,416,0,,
33,2260,1326,934,512,572,0,,
34,2442,1471,971,563,535,0,,
35,5063,5062,1,1920,1477,1,,
36,2388,1161,1227,446,460,0,,
37,2842,1292,1550,475,455,0,,
38,2964,1567,1397,597,602,0,,
39,3498,1481,2017,533,583,0,,
40,1685,874,811,274,415,0,,
41,3086,1684,1402,665,582,0,,
42,2709,1515,1194,637,516,0,,
43,4362,4362,0,1487,1297,1,,
44,2091,950,1141,304,357,0,,
45,2330,1174,1156,386,487,0,,
46,3773,1991,1782,658,771,0,,
47,2745,1422,1323,426,666,0,,
48,4356,1828,2528,631,690,0,,
49,4503,1975,2528,698,697,0,,
50,3509,1657,1852,581,601,0,,
51,2209,1101,1108,398,403,0,,
52,7744,7743,1,2845,2367,1,,
53,2756,1791,965,731,602,0,,
54,2866,1811,1055,736,654,0,,
55,3008,1728,1280,633,620,0,,
56,2447,1535,912,505,622,0,,
57,3100,2010,1090,633,979,0,,
58,2668,1314,1354,422,514,0,,
59,2168,953,1215,290,370,0,,
60,2646,1781,865,587,842,0,,
61,2558,1268,1290,404,482,0,,
62,4870,4868,2,1869,1205,1,,
63,3128,1605,1523,599,577,0,,
64,3203,1889,1314,751,604,0,,
65,3312,2014,1298,735,686,0,,
66,2876,1903,973,772,702,0,,
67,2867,1972,895,816,638,0,,
68,2182,1551,631,594,594,0,,
69,2794,1736,1058,719,547,0,,
