"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.95001128184,0.0389204524065207,0.872662,0.999171
"2","pi[2]","Incremental Fraud",0.0299406362093587,0.0339119760357324,9.59975e-08,0.0998514
"3","pi[3]","Extreme Fraud",0.0200480826834489,0.0198064849262366,2.03287e-06,0.0595558
"4","beta.tau","(Intercept)",1.213554771199,0.270355935090103,0.687982,1.74768
"5","beta.nu","(Intercept)",-0.41075801757,0.0271927711804933,-0.464878,-0.357804
"6","beta.iota.m[1]","(Intercept)",0.70365892005825,1.08919097571106,-1.98993,2.6003
"7","beta.iota.m[2]","ind",-0.041843435346936,1.08488940188564,-2.0083,2.23959
"8","beta.iota.s[1]","(Intercept)",-0.0865384043569831,1.18478573487497,-2.07319,2.18496
"9","beta.iota.s[2]","ind",0.227676462940478,1.0970667816677,-1.98999,2.21494
"10","beta.chi.m[1]","(Intercept)",0.302557854572066,1.16894367011787,-1.98194,2.34422
"11","beta.chi.m[2]","ind",-0.132135307237942,1.25239334387192,-2.57507,2.13269
"12","beta.chi.s[1]","(Intercept)",0.0797701730589552,0.809734293186122,-1.49773,1.86446
"13","beta.chi.s[2]","ind",0.124174859209135,1.0730202691766,-1.83538,2.22351
