"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.8692014535,0.0964521378859884,0.644201,0.997354
"2","pi[2]","Incremental Fraud",0.110190929579154,0.0947475687276298,9.20939e-07,0.333627
"3","pi[3]","Extreme Fraud",0.020607615442721,0.020296739757144,5.06877e-08,0.0613488
"4","beta.tau","(Intercept)",1.76246516959,0.311206841131881,1.13672,2.35962
"5","beta.nu","(Intercept)",0.0670406993710107,0.085687538332228,-0.125394,0.222986
"6","beta.iota.m[1]","(Intercept)",0.0536190861997931,0.734300789290915,-1.37227,1.39717
"7","beta.iota.m[2]","ind",0.74358327727097,0.854201373103611,-1.02593,2.24312
"8","beta.iota.s[1]","(Intercept)",-0.928634124390828,0.797708609842459,-2.46474,0.554983
"9","beta.iota.s[2]","ind",-0.968999388291269,1.00312431075548,-2.69635,0.643897
"10","beta.chi.m[1]","(Intercept)",0.208422187357994,1.19775727756843,-1.9106,2.511
"11","beta.chi.m[2]","ind",-0.255007558724031,1.06490811456861,-2.15734,1.80069
"12","beta.chi.s[1]","(Intercept)",0.31611250708121,0.884102108881303,-1.44865,1.92601
"13","beta.chi.s[2]","ind",-0.234696351375876,0.858922109503433,-1.95029,1.27605
