"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",51.795,48.205,0
"Z[2]",35.544,64.456,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",49.624,50.376,0
"Z[7]",99.934,0.066,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",99.986,0.014,0
"Z[11]",26.889,73.111,0
"Z[12]",100,0,0
"Z[13]",99.985,0.015,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",40.708,59.292,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",27.858,72.142,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",99.733,0.267,0
"Z[25]",27.707,72.293,0
"Z[26]",99.999,0.001,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",2.466,97.534,0
"Z[33]",100,0,0
"Z[34]",99.998,0.002,0
"Z[35]",99.82,0.18,0
"Z[36]",100,0,0
"Z[37]",38.259,61.741,0
"Z[38]",100,0,0
"Z[39]",99.999,0.001,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",10,90,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",14.472,85.528,0
"Z[49]",100,0,0
"Z[50]",95.135,4.865,0
"Z[51]",100,0,0
"Z[52]",100,0,0
"Z[53]",99.989,0.011,0
"Z[54]",99.987,0.013,0
"Z[55]",26.805,73.195,0
"Z[56]",99.999,0.001,0
"Z[57]",99.245,0.755,0
"Z[58]",100,0,0
"Z[59]",4.489,95.511,0
"Z[60]",99.942,0.058,0
"Z[61]",99.286,0.714,0
"Z[62]",100,0,0
"Z[63]",3.068,96.932,0
"Z[64]",99.911,0.089,0
"Z[65]",99.682,0.318,0
"Z[66]",100,0,0
