"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",70,30,0
"Z[2]",17.003,82.997,0
"Z[3]",99.965,0.035,0
"Z[4]",98.402,1.598,0
"Z[5]",93.522,6.478,0
"Z[6]",76.599,23.401,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",37.596,62.404,0
"Z[10]",99.873,0.127,0
"Z[11]",29.197,70.803,0
"Z[12]",96.375,3.625,0
"Z[13]",93.305,6.695,0
"Z[14]",98.634,1.366,0
"Z[15]",61.338,38.662,0
"Z[16]",99.922,0.078,0
"Z[17]",100,0,0
"Z[18]",99.336,0.664,0
"Z[19]",95.575,4.425,0
"Z[20]",99.743,0.257,0
"Z[21]",45.395,54.605,0
"Z[22]",98.091,1.909,0
"Z[23]",96.106,3.894,0
"Z[24]",23.625,76.375,0
"Z[25]",94.032,5.968,0
"Z[26]",93.415,6.585,0
"Z[27]",96.163,3.837,0
"Z[28]",27.928,72.072,0
"Z[29]",98.335,1.665,0
"Z[30]",45.538,54.462,0
"Z[31]",100,0,0
"Z[32]",99.368,0.632,0
"Z[33]",39.195,60.805,0
"Z[34]",99.144,0.856,0
"Z[35]",95.148,4.852,0
"Z[36]",13.49,86.51,0
"Z[37]",92.027,7.973,0
"Z[38]",99.866,0.134,0
"Z[39]",45.757,54.243,0
"Z[40]",93.058,6.942,0
"Z[41]",96.236,3.764,0
"Z[42]",98.287,1.713,0
"Z[43]",94.168,5.832,0
"Z[44]",96.535,3.465,0
"Z[45]",14.612,85.388,0
"Z[46]",96.664,3.336,0
"Z[47]",90.694,9.306,0
"Z[48]",9.477,90.523,0
"Z[49]",91.829,8.171,0
"Z[50]",92.443,7.557,0
"Z[51]",90.62,9.38,0
"Z[52]",26.741,73.259,0
"Z[53]",91.104,8.896,0
"Z[54]",94.069,5.931,0
"Z[55]",14.581,85.419,0
"Z[56]",94.307,5.693,0
"Z[57]",93.318,6.682,0
"Z[58]",13.68,86.32,0
"Z[59]",90.582,9.418,0
"Z[60]",91.348,8.652,0
"Z[61]",91.486,8.514,0
