"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.96492020014,0.0239057685823271,0.917957,0.998989
"2","pi[2]","Incremental Fraud",0.0205804149879039,0.0193241776781088,9.51041e-08,0.0594662
"3","pi[3]","Extreme Fraud",0.0144993846948648,0.0142493233313242,2.02749e-07,0.043193
"4","beta.tau","(Intercept)",1.23556415284,0.247429567885022,0.746346,1.72043
"5","beta.nu","(Intercept)",-0.48186947937,0.0368759838098217,-0.553589,-0.408752
"6","beta.iota.m[1]","(Intercept)",0.0367034624835416,0.765738717481245,-1.22644,1.66586
"7","beta.iota.m[2]","ind",-0.587632278383938,0.672155064916381,-1.74886,0.793019
"8","beta.iota.s[1]","(Intercept)",-0.524362924846625,1.14804986273445,-3.01817,1.07053
"9","beta.iota.s[2]","ind",-0.241090542732239,0.714940355633839,-1.61886,1.03908
"10","beta.chi.m[1]","(Intercept)",-0.0160422032816292,0.756139132891783,-1.61474,1.25057
"11","beta.chi.m[2]","ind",-0.196388686697378,0.940031282428408,-1.74522,1.8502
"12","beta.chi.s[1]","(Intercept)",-0.342893520261284,0.823053202211553,-1.84384,1.39545
"13","beta.chi.s[2]","ind",0.212734668880678,1.00097430641465,-2.16972,1.73807
