"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.86801660451,0.0643542280540323,0.75419,0.987549
"2","pi[2]","Incremental Fraud",0.116433792346232,0.0630770170927597,4.65471e-05,0.222732
"3","pi[3]","Extreme Fraud",0.015549601111993,0.0151678983491082,2.00865e-07,0.0458831
"4","beta.tau","(Intercept)",1.49015769424,0.266221109271144,0.97282,2.01719
"5","beta.nu","(Intercept)",-0.0867667935463894,0.0487708676581183,-0.177552,0.0109214
"6","beta.iota.m[1]","(Intercept)",0.625831654881829,1.26296303375638,-2.16953,2.48546
"7","beta.iota.m[2]","ind",1.19533023893871,0.953776696639382,-0.574877,3.0769
"8","beta.iota.s[1]","(Intercept)",-0.578070757821246,0.72876128282839,-2.23001,0.612398
"9","beta.iota.s[2]","ind",-0.03315822609882,0.692042974496009,-1.259,1.3305
"10","beta.chi.m[1]","(Intercept)",-0.083935317409168,1.22227997340786,-2.2163,2.45485
"11","beta.chi.m[2]","ind",0.22447805076017,0.998192457814414,-1.55833,2.21932
"12","beta.chi.s[1]","(Intercept)",-0.097817722287865,0.791197852512373,-1.66505,1.38565
"13","beta.chi.s[2]","ind",-0.13679755752926,0.977139586029405,-2.26079,1.60138
