"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",50,50,0
"Z[2]",47.826,52.174,0
"Z[3]",100,0,0
"Z[4]",94.689,5.311,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",99.999,0.001,0
"Z[8]",47.84,52.16,0
"Z[9]",100,0,0
"Z[10]",99.997,0.003,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",42.565,57.435,0
"Z[16]",100,0,0
"Z[17]",99.86,0.14,0
"Z[18]",99.976,0.024,0
"Z[19]",100,0,0
"Z[20]",96.764,3.236,0
"Z[21]",99.917,0.083,0
"Z[22]",52.797,47.203,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",97.549,2.451,0
"Z[27]",99.666,0.334,0
"Z[28]",95.856,4.144,0
"Z[29]",77.278,22.722,0
"Z[30]",99.994,0.006,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",99.975,0.025,0
"Z[34]",100,0,0
"Z[35]",99.979,0.021,0
"Z[36]",100,0,0
"Z[37]",67.76,32.24,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",99.976,0.024,0
"Z[42]",100,0,0
"Z[43]",99.917,0.083,0
"Z[44]",31.904,68.096,0
"Z[45]",100,0,0
"Z[46]",99.993,0.007,0
"Z[47]",99.999,0.001,0
"Z[48]",99.492,0.508,0
"Z[49]",99.999,0.001,0
"Z[50]",99.976,0.024,0
