"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",98.569,1.431,0
"Z[2]",98.985,1.015,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",99.973,0.027,0
"Z[6]",99.896,0.104,0
"Z[7]",99.47,0.53,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",99.592,0.408,0
"Z[11]",99.917,0.083,0
"Z[12]",100,0,0
"Z[13]",99.968,0.032,0
"Z[14]",97.317,2.683,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",99.487,0.513,0
"Z[18]",99.363,0.637,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",93.219,6.781,0
"Z[25]",99.614,0.386,0
"Z[26]",100,0,0
"Z[27]",100,0,0
"Z[28]",98.674,1.326,0
"Z[29]",99.501,0.499,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",99.996,0.004,0
"Z[36]",98.212,1.788,0
"Z[37]",99.268,0.732,0
"Z[38]",100,0,0
"Z[39]",99.997,0.003,0
"Z[40]",100,0,0
"Z[41]",99.236,0.764,0
"Z[42]",100,0,0
"Z[43]",99.935,0.065,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",99.911,0.089,0
"Z[47]",99.677,0.323,0
"Z[48]",93.517,6.483,0
"Z[49]",100,0,0
"Z[50]",98.936,1.064,0
"Z[51]",99.968,0.032,0
