"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.95777644903,0.0299843806746247,0.898826,0.999114
"2","pi[2]","Incremental Fraud",0.0229283014646401,0.0238570322207765,8.72952e-08,0.0706191
"3","pi[3]","Extreme Fraud",0.0192952488326749,0.0189094793381244,1.08883e-07,0.0572596
"4","beta.tau","(Intercept)",1.13864604382,0.259733130892859,0.637095,1.65648
"5","beta.nu","(Intercept)",-0.29451480718,0.040952591543864,-0.377527,-0.216544
"6","beta.iota.m[1]","(Intercept)",0.148976932833083,0.773539099094732,-1.17747,1.69682
"7","beta.iota.m[2]","ind",0.399376871692732,1.18589616798529,-1.74623,2.50697
"8","beta.iota.s[1]","(Intercept)",-0.349766922864102,1.06494219708689,-2.43503,1.56948
"9","beta.iota.s[2]","ind",0.167571245378344,1.02770278071896,-1.62221,2.14205
"10","beta.chi.m[1]","(Intercept)",0.273025304733573,0.858085534161588,-1.48773,1.84872
"11","beta.chi.m[2]","ind",0.024632261984114,1.09759898903403,-2.19294,1.91196
"12","beta.chi.s[1]","(Intercept)",0.156766795421688,1.01593987271347,-1.96561,2.24807
"13","beta.chi.s[2]","ind",0.119605102327579,0.906215383105783,-1.62403,1.94189
