"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.8805364385,0.0573224155787527,0.772617,0.984118
"2","pi[2]","Incremental Fraud",0.099637672231103,0.0546683670524956,0.00297134,0.198891
"3","pi[3]","Extreme Fraud",0.0198258878370005,0.0193879592399436,5.27544e-08,0.0584052
"4","beta.tau","(Intercept)",1.410136732312,0.279913799731959,0.866524,1.96454
"5","beta.nu","(Intercept)",-0.160765224954756,0.0502040102718423,-0.258348,-0.0617167
"6","beta.iota.m[1]","(Intercept)",0.531621669267826,0.977029775784594,-0.973039,2.52367
"7","beta.iota.m[2]","ind",1.28346180341439,0.78397351451262,-0.32441,2.5926
"8","beta.iota.s[1]","(Intercept)",-0.442217624120581,0.880771679217175,-2.14511,1.25972
"9","beta.iota.s[2]","ind",-0.229551723152104,0.75310444587048,-1.69151,1.17766
"10","beta.chi.m[1]","(Intercept)",-0.177309458072779,0.919430498994912,-2.04323,1.33851
"11","beta.chi.m[2]","ind",0.21589873339494,1.07696794537071,-1.81642,2.23671
"12","beta.chi.s[1]","(Intercept)",-0.215518988387022,0.944772003385333,-2.13953,1.54318
"13","beta.chi.s[2]","ind",0.281355620849877,1.00222346482115,-1.59165,2.20182
