"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",98.918,1.082,0
"Z[2]",96.822,3.178,0
"Z[3]",94.425,5.575,0
"Z[4]",94.083,5.917,0
"Z[5]",90.759,9.241,0
"Z[6]",85.101,14.899,0
"Z[7]",89.879,10.121,0
"Z[8]",87.897,12.103,0
"Z[9]",93.355,6.645,0
"Z[10]",79.617,20.383,0
"Z[11]",94.126,5.874,0
"Z[12]",94.703,5.297,0
"Z[13]",92.594,7.406,0
"Z[14]",98.086,1.914,0
"Z[15]",97.388,2.612,0
"Z[16]",99.992,0.008,0
"Z[17]",82.927,17.073,0
"Z[18]",92.195,7.805,0
"Z[19]",88.705,11.295,0
"Z[20]",82.763,17.237,0
"Z[21]",75.486,24.514,0
"Z[22]",91.93,8.07,0
"Z[23]",96.544,3.456,0
"Z[24]",97.6,2.4,0
"Z[25]",99.704,0.296,0
"Z[26]",93.301,6.699,0
"Z[27]",92.421,7.579,0
"Z[28]",99.997,0.003,0
"Z[29]",97.805,2.195,0
"Z[30]",99.934,0.066,0
"Z[31]",99.03,0.97,0
"Z[32]",95.586,4.414,0
"Z[33]",92.807,7.193,0
"Z[34]",98.936,1.064,0
"Z[35]",96.845,3.155,0
"Z[36]",99.176,0.824,0
"Z[37]",97.449,2.551,0
"Z[38]",94.067,5.933,0
"Z[39]",98.427,1.573,0
"Z[40]",99.983,0.017,0
"Z[41]",91.05,8.95,0
"Z[42]",99.537,0.463,0
"Z[43]",96.386,3.614,0
"Z[44]",96.722,3.278,0
"Z[45]",99.329,0.671,0
"Z[46]",99.976,0.024,0
"Z[47]",98.609,1.391,0
"Z[48]",88.138,11.862,0
"Z[49]",99.726,0.274,0
"Z[50]",93.34,6.66,0
"Z[51]",97.452,2.548,0
"Z[52]",99.521,0.479,0
"Z[53]",91.326,8.674,0
"Z[54]",99.951,0.049,0
"Z[55]",99.808,0.192,0
"Z[56]",99.515,0.485,0
"Z[57]",91.388,8.612,0
"Z[58]",99.929,0.071,0
"Z[59]",98.459,1.541,0
"Z[60]",97.026,2.974,0
"Z[61]",83.886,16.114,0
"Z[62]",97.907,2.093,0
"Z[63]",99.263,0.737,0
"Z[64]",99.538,0.462,0
"Z[65]",91.762,8.238,0
"Z[66]",97.258,2.742,0
"Z[67]",99.997,0.003,0
"Z[68]",99.324,0.676,0
"Z[69]",98.298,1.702,0
"Z[70]",99.947,0.053,0
"Z[71]",93.395,6.605,0
"Z[72]",99.957,0.043,0
"Z[73]",99.036,0.964,0
"Z[74]",99.862,0.138,0
"Z[75]",90.325,9.675,0
"Z[76]",98.269,1.731,0
"Z[77]",91.104,8.896,0
"Z[78]",98.974,1.026,0
"Z[79]",89.359,10.641,0
"Z[80]",95.704,4.296,0
