"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.96529940311,0.0268120120939581,0.912294,0.999232
"2","pi[2]","Incremental Fraud",0.0216120291702487,0.023718629958391,5.15606e-09,0.069048
"3","pi[3]","Extreme Fraud",0.01308856743999,0.0129724080904661,1.35304e-07,0.03889
"4","beta.tau","(Intercept)",1.54174326369,0.263265630336105,1.01897,2.05056
"5","beta.nu","(Intercept)",-0.31744174709,0.0287589377952479,-0.373656,-0.260678
"6","beta.iota.m[1]","(Intercept)",0.057103855684754,0.585451582086228,-1.06544,1.46317
"7","beta.iota.m[2]","ind",0.112326048489814,0.914855135841935,-1.54,1.82715
"8","beta.iota.s[1]","(Intercept)",0.0178945654779768,1.15612213561367,-2.61281,2.00536
"9","beta.iota.s[2]","ind",-0.0421756697763865,0.964487958549046,-1.90367,1.86034
"10","beta.chi.m[1]","(Intercept)",-0.179698006520161,0.724051041725232,-1.47703,1.33559
"11","beta.chi.m[2]","ind",0.127890316421626,0.970476437860275,-1.63148,2.33674
"12","beta.chi.s[1]","(Intercept)",0.533898042905718,1.09067688103171,-1.61217,2.44116
"13","beta.chi.s[2]","ind",-0.0243452295139556,1.09339708323052,-1.97681,2.21536
